Name,National Dex #,Primary Typing,Secondary Typing,Secondary Typing Flag,Generation,Legendary Status,Form,Alt Form Flag,Evolution Stage,Number of Evolution,Color ID,Catch Rate,Height (dm),Weight (hg),Height (in),Weight (lbs),Base Stat Total,Health,Attack,Defense,Special Attack,Special Defense,Speed
bulbasaur,1,grass,poison,True,generation-i,False,Base,False,1,3,green,45,7,69,28,15,318,45,49,49,65,65,45
ivysaur,2,grass,poison,True,generation-i,False,Base,False,2,3,green,45,10,130,39,29,405,60,62,63,80,80,60
venusaur,3,grass,poison,True,generation-i,False,Base,False,3,3,green,45,20,1000,79,220,525,80,82,83,100,100,80
venusaur-mega,3,grass,poison,True,generation-i,True,Mega,True,3,3,green,45,24,1555,94,343,625,80,100,123,122,120,80
charmander,4,fire,,False,generation-i,False,Base,False,1,3,red,45,6,85,24,19,309,39,52,43,60,50,65
charmeleon,5,fire,,False,generation-i,False,Base,False,2,3,red,45,11,190,43,42,405,58,64,58,80,65,80
charizard,6,fire,flying,True,generation-i,False,Base,False,3,3,red,45,17,905,67,200,534,78,84,78,109,85,100
charizard-mega-x,6,fire,dragon,True,generation-i,True,Mega X,True,3,3,red,45,17,1105,67,244,634,78,130,111,130,85,100
charizard-mega-y,6,fire,flying,True,generation-i,True,Mega Y,True,3,3,red,45,17,1005,67,222,634,78,104,78,159,115,100
squirtle,7,water,,False,generation-i,False,Base,False,1,3,blue,45,5,90,20,20,314,44,48,65,50,64,43
wartortle,8,water,,False,generation-i,False,Base,False,2,3,blue,45,10,225,39,50,405,59,63,80,65,80,58
blastoise,9,water,,False,generation-i,False,Base,False,3,3,blue,45,16,855,63,188,530,79,83,100,85,105,78
blastoise-mega,9,water,,False,generation-i,True,Mega,True,3,3,blue,45,16,1011,63,223,630,79,103,120,135,115,78
caterpie,10,bug,,False,generation-i,False,Base,False,1,3,green,255,3,29,12,6,195,45,30,35,20,20,45
metapod,11,bug,,False,generation-i,False,Base,False,2,3,green,120,7,99,28,22,205,50,20,55,25,25,30
butterfree,12,bug,flying,True,generation-i,False,Base,False,3,3,white,45,11,320,43,71,395,60,45,50,90,80,70
weedle,13,bug,poison,True,generation-i,False,Base,False,1,3,brown,255,3,32,12,7,195,40,35,30,20,20,50
kakuna,14,bug,poison,True,generation-i,False,Base,False,2,3,yellow,120,6,100,24,22,205,45,25,50,25,25,35
beedrill,15,bug,poison,True,generation-i,False,Base,False,3,3,yellow,45,10,295,39,65,395,65,90,40,45,80,75
beedrill-mega,15,bug,poison,True,generation-i,True,Mega,True,3,3,yellow,45,14,405,55,89,495,65,150,40,15,80,145
pidgey,16,normal,flying,True,generation-i,False,Base,False,1,3,brown,255,3,18,12,4,251,40,45,40,35,35,56
pidgeotto,17,normal,flying,True,generation-i,False,Base,False,2,3,brown,120,11,300,43,66,349,63,60,55,50,50,71
pidgeot,18,normal,flying,True,generation-i,False,Base,False,3,3,brown,45,15,395,59,87,479,83,80,75,70,70,101
pidgeot-mega,18,normal,flying,True,generation-i,True,Mega,True,3,3,brown,45,22,505,87,111,579,83,80,80,135,80,121
rattata,19,normal,,False,generation-i,False,Base,False,1,2,purple,255,3,35,12,8,253,30,56,35,25,35,72
rattata-alola,19,dark,normal,True,generation-i,False,Alolan,True,1,2,purple,255,3,38,12,8,253,30,56,35,25,35,72
raticate,20,normal,,False,generation-i,False,Base,False,2,2,brown,127,7,185,28,41,413,55,81,60,50,70,97
raticate-alola,20,dark,normal,True,generation-i,False,Alolan,True,2,2,brown,127,7,255,28,56,413,75,71,70,40,80,77
raticate-totem-alola,20,dark,normal,True,generation-i,False,Alolan,True,2,2,brown,127,14,1050,55,231,413,75,71,70,40,80,77
spearow,21,normal,flying,True,generation-i,False,Base,False,1,2,brown,255,3,20,12,4,262,40,60,30,31,31,70
fearow,22,normal,flying,True,generation-i,False,Base,False,2,2,brown,90,12,380,47,84,442,65,90,65,61,61,100
ekans,23,poison,,False,generation-i,False,Base,False,1,2,purple,255,20,69,79,15,288,35,60,44,40,54,55
arbok,24,poison,,False,generation-i,False,Base,False,2,2,purple,90,35,650,138,143,448,60,95,69,65,79,80
pikachu,25,electric,,False,generation-i,False,Base,False,2,3,yellow,190,4,60,16,13,320,35,55,40,50,50,90
pikachu-starter,25,electric,,False,generation-i,False,Starter,True,2,3,yellow,190,4,60,16,13,430,45,80,50,75,60,120
raichu,26,electric,,False,generation-i,False,Base,False,3,3,yellow,75,8,300,31,66,485,60,90,55,90,80,110
raichu-alola,26,electric,psychic,True,generation-i,False,Alolan,True,3,3,yellow,75,7,210,28,46,485,60,85,50,95,85,110
sandshrew,27,ground,,False,generation-i,False,Base,False,1,2,yellow,255,6,120,24,26,300,50,75,85,20,30,40
sandshrew-alola,27,ice,steel,True,generation-i,False,Alolan,True,1,2,yellow,255,7,400,28,88,300,50,75,90,10,35,40
sandslash,28,ground,,False,generation-i,False,Base,False,2,2,yellow,90,10,295,39,65,450,75,100,110,45,55,65
sandslash-alola,28,ice,steel,True,generation-i,False,Alolan,True,2,2,yellow,90,12,550,47,121,450,75,100,120,25,65,65
nidoran-f,29,poison,,False,generation-i,False,Base,False,1,3,blue,235,4,70,16,15,275,55,47,52,40,40,41
nidorina,30,poison,,False,generation-i,False,Base,False,2,3,blue,120,8,200,31,44,365,70,62,67,55,55,56
nidoqueen,31,poison,ground,True,generation-i,False,Base,False,3,3,blue,45,13,600,51,132,505,90,92,87,75,85,76
nidoran-m,32,poison,,False,generation-i,False,Base,False,1,3,purple,235,5,90,20,20,273,46,57,40,40,40,50
nidorino,33,poison,,False,generation-i,False,Base,False,2,3,purple,120,9,195,35,43,365,61,72,57,55,55,65
nidoking,34,poison,ground,True,generation-i,False,Base,False,3,3,purple,45,14,620,55,137,505,81,102,77,85,75,85
clefairy,35,fairy,,False,generation-i,False,Base,False,2,3,pink,150,6,75,24,17,323,70,45,48,60,65,35
clefable,36,fairy,,False,generation-i,False,Base,False,3,3,pink,25,13,400,51,88,483,95,70,73,95,90,60
vulpix,37,fire,,False,generation-i,False,Base,False,1,2,brown,190,6,99,24,22,299,38,41,40,50,65,65
vulpix-alola,37,ice,,False,generation-i,False,Alolan,True,1,2,brown,190,6,99,24,22,299,38,41,40,50,65,65
ninetales,38,fire,,False,generation-i,False,Base,False,2,2,yellow,75,11,199,43,44,505,73,76,75,81,100,100
ninetales-alola,38,ice,fairy,True,generation-i,False,Alolan,True,2,2,yellow,75,11,199,43,44,505,73,67,75,81,100,109
jigglypuff,39,normal,fairy,True,generation-i,False,Base,False,2,3,pink,170,5,55,20,12,270,115,45,20,45,25,20
wigglytuff,40,normal,fairy,True,generation-i,False,Base,False,3,3,pink,50,10,120,39,26,435,140,70,45,85,50,45
zubat,41,poison,flying,True,generation-i,False,Base,False,1,3,purple,255,8,75,31,17,245,40,45,35,30,40,55
golbat,42,poison,flying,True,generation-i,False,Base,False,2,3,purple,90,16,550,63,121,455,75,80,70,65,75,90
oddish,43,grass,poison,True,generation-i,False,Base,False,1,3,blue,255,5,54,20,12,320,45,50,55,75,65,30
gloom,44,grass,poison,True,generation-i,False,Base,False,2,3,blue,120,8,86,31,19,395,60,65,70,85,75,40
vileplume,45,grass,poison,True,generation-i,False,Base,False,3,3,red,45,12,186,47,41,490,75,80,85,110,90,50
paras,46,bug,grass,True,generation-i,False,Base,False,1,2,red,190,3,54,12,12,285,35,70,55,45,55,25
parasect,47,bug,grass,True,generation-i,False,Base,False,2,2,red,75,10,295,39,65,405,60,95,80,60,80,30
venonat,48,bug,poison,True,generation-i,False,Base,False,1,2,purple,190,10,300,39,66,305,60,55,50,40,55,45
venomoth,49,bug,poison,True,generation-i,False,Base,False,2,2,purple,75,15,125,59,28,450,70,65,60,90,75,90
diglett,50,ground,,False,generation-i,False,Base,False,1,2,brown,255,2,8,8,2,265,10,55,25,35,45,95
diglett-alola,50,ground,steel,True,generation-i,False,Alolan,True,1,2,brown,255,2,10,8,2,265,10,55,30,35,45,90
dugtrio,51,ground,,False,generation-i,False,Base,False,2,2,brown,50,7,333,28,73,425,35,100,50,50,70,120
dugtrio-alola,51,ground,steel,True,generation-i,False,Alolan,True,2,2,brown,50,7,666,28,147,425,35,100,60,50,70,110
meowth,52,normal,,False,generation-i,False,Base,False,1,2,yellow,255,4,42,16,9,290,40,45,35,40,40,90
meowth-alola,52,dark,,False,generation-i,False,Alolan,True,1,2,yellow,255,4,42,16,9,290,40,35,35,50,40,90
meowth-galar,52,steel,,False,generation-i,False,Galarian,True,1,2,yellow,255,4,75,16,17,290,50,65,55,40,40,40
persian,53,normal,,False,generation-i,False,Base,False,2,2,yellow,90,10,320,39,71,440,65,70,60,65,65,115
persian-alola,53,dark,,False,generation-i,False,Alolan,True,2,2,yellow,90,11,330,43,73,440,65,60,60,75,65,115
psyduck,54,water,,False,generation-i,False,Base,False,1,2,yellow,190,8,196,31,43,320,50,52,48,65,50,55
golduck,55,water,,False,generation-i,False,Base,False,2,2,blue,75,17,766,67,169,500,80,82,78,95,80,85
mankey,56,fighting,,False,generation-i,False,Base,False,1,3,brown,190,5,280,20,62,305,40,80,35,35,45,70
primeape,57,fighting,,False,generation-i,False,Base,False,2,3,brown,75,10,320,39,71,455,65,105,60,60,70,95
growlithe,58,fire,,False,generation-i,False,Base,False,1,2,brown,190,7,190,28,42,350,55,70,45,70,50,60
growlithe-hisui,58,fire,rock,True,generation-i,False,Hisuian,True,1,2,brown,190,8,227,31,50,350,60,75,45,65,50,55
arcanine,59,fire,,False,generation-i,False,Base,False,2,2,brown,75,19,1550,75,342,555,90,110,80,100,80,95
arcanine-hisui,59,fire,rock,True,generation-i,False,Hisuian,True,2,2,brown,75,20,1680,79,370,555,95,115,80,95,80,90
poliwag,60,water,,False,generation-i,False,Base,False,1,3,blue,255,6,124,24,27,300,40,50,40,40,40,90
poliwhirl,61,water,,False,generation-i,False,Base,False,2,3,blue,120,10,200,39,44,385,65,65,65,50,50,90
poliwrath,62,water,fighting,True,generation-i,False,Base,False,3,3,blue,45,13,540,51,119,510,90,95,95,70,90,70
abra,63,psychic,,False,generation-i,False,Base,False,1,3,brown,200,9,195,35,43,310,25,20,15,105,55,90
kadabra,64,psychic,,False,generation-i,False,Base,False,2,3,brown,100,13,565,51,125,400,40,35,30,120,70,105
alakazam,65,psychic,,False,generation-i,False,Base,False,3,3,brown,50,15,480,59,106,500,55,50,45,135,95,120
alakazam-mega,65,psychic,,False,generation-i,True,Mega,True,3,3,brown,50,12,480,47,106,600,55,50,65,175,105,150
machop,66,fighting,,False,generation-i,False,Base,False,1,3,gray,180,8,195,31,43,305,70,80,50,35,35,35
machoke,67,fighting,,False,generation-i,False,Base,False,2,3,gray,90,15,705,59,155,405,80,100,70,50,60,45
machamp,68,fighting,,False,generation-i,False,Base,False,3,3,gray,45,16,1300,63,287,505,90,130,80,65,85,55
bellsprout,69,grass,poison,True,generation-i,False,Base,False,1,3,green,255,7,40,28,9,300,50,75,35,70,30,40
weepinbell,70,grass,poison,True,generation-i,False,Base,False,2,3,green,120,10,64,39,14,390,65,90,50,85,45,55
victreebel,71,grass,poison,True,generation-i,False,Base,False,3,3,green,45,17,155,67,34,490,80,105,65,100,70,70
tentacool,72,water,poison,True,generation-i,False,Base,False,1,2,blue,190,9,455,35,100,335,40,40,35,50,100,70
tentacruel,73,water,poison,True,generation-i,False,Base,False,2,2,blue,60,16,550,63,121,515,80,70,65,80,120,100
geodude,74,rock,ground,True,generation-i,False,Base,False,1,3,brown,255,4,200,16,44,300,40,80,100,30,30,20
geodude-alola,74,rock,electric,True,generation-i,False,Alolan,True,1,3,brown,255,4,203,16,45,300,40,80,100,30,30,20
graveler,75,rock,ground,True,generation-i,False,Base,False,2,3,brown,120,10,1050,39,231,390,55,95,115,45,45,35
graveler-alola,75,rock,electric,True,generation-i,False,Alolan,True,2,3,brown,120,10,1100,39,243,390,55,95,115,45,45,35
golem,76,rock,ground,True,generation-i,False,Base,False,3,3,brown,45,14,3000,55,661,495,80,120,130,55,65,45
golem-alola,76,rock,electric,True,generation-i,False,Alolan,True,3,3,brown,45,17,3160,67,697,495,80,120,130,55,65,45
ponyta,77,fire,,False,generation-i,False,Base,False,1,2,yellow,190,10,300,39,66,410,50,85,55,65,65,90
ponyta-galar,77,psychic,,False,generation-i,False,Galarian,True,1,2,yellow,190,8,240,31,53,410,50,85,55,65,65,90
rapidash,78,fire,,False,generation-i,False,Base,False,2,2,yellow,60,17,950,67,209,500,65,100,70,80,80,105
rapidash-galar,78,psychic,fairy,True,generation-i,False,Galarian,True,2,2,yellow,60,17,800,67,176,500,65,100,70,80,80,105
slowpoke,79,water,psychic,True,generation-i,False,Base,False,1,2,pink,190,12,360,47,79,315,90,65,65,40,40,15
slowpoke-galar,79,psychic,,False,generation-i,False,Galarian,True,1,2,pink,190,12,360,47,79,315,90,65,65,40,40,15
slowbro,80,water,psychic,True,generation-i,False,Base,False,2,2,pink,75,16,785,63,173,490,95,75,110,100,80,30
slowbro-mega,80,water,psychic,True,generation-i,True,Mega,True,2,2,pink,75,20,1200,79,265,590,95,75,180,130,80,30
slowbro-galar,80,poison,psychic,True,generation-i,False,Galarian,True,2,2,pink,75,16,705,63,155,490,95,100,95,100,70,30
magnemite,81,electric,steel,True,generation-i,False,Base,False,1,3,gray,190,3,60,12,13,325,25,35,70,95,55,45
magneton,82,electric,steel,True,generation-i,False,Base,False,2,3,gray,60,10,600,39,132,465,50,60,95,120,70,70
farfetchd,83,normal,flying,True,generation-i,False,Base,False,1,2,brown,45,8,150,31,33,377,52,90,55,58,62,60
farfetchd-galar,83,fighting,,False,generation-i,False,Galarian,True,1,2,brown,45,8,420,31,93,377,52,95,55,58,62,55
doduo,84,normal,flying,True,generation-i,False,Base,False,1,2,brown,190,14,392,55,86,310,35,85,45,35,35,75
dodrio,85,normal,flying,True,generation-i,False,Base,False,2,2,brown,45,18,852,71,188,470,60,110,70,60,60,110
seel,86,water,,False,generation-i,False,Base,False,1,2,white,190,11,900,43,198,325,65,45,55,45,70,45
dewgong,87,water,ice,True,generation-i,False,Base,False,2,2,white,75,17,1200,67,265,475,90,70,80,70,95,70
grimer,88,poison,,False,generation-i,False,Base,False,1,2,purple,190,9,300,35,66,325,80,80,50,40,50,25
grimer-alola,88,poison,dark,True,generation-i,False,Alolan,True,1,2,purple,190,7,420,28,93,325,80,80,50,40,50,25
muk,89,poison,,False,generation-i,False,Base,False,2,2,purple,75,12,300,47,66,500,105,105,75,65,100,50
muk-alola,89,poison,dark,True,generation-i,False,Alolan,True,2,2,purple,75,10,520,39,115,500,105,105,75,65,100,50
shellder,90,water,,False,generation-i,False,Base,False,1,2,purple,190,3,40,12,9,305,30,65,100,45,25,40
cloyster,91,water,ice,True,generation-i,False,Base,False,2,2,purple,60,15,1325,59,292,525,50,95,180,85,45,70
gastly,92,ghost,poison,True,generation-i,False,Base,False,1,3,purple,190,13,1,51,0,310,30,35,30,100,35,80
haunter,93,ghost,poison,True,generation-i,False,Base,False,2,3,purple,90,16,1,63,0,405,45,50,45,115,55,95
gengar,94,ghost,poison,True,generation-i,False,Base,False,3,3,purple,45,15,405,59,89,500,60,65,60,130,75,110
gengar-mega,94,ghost,poison,True,generation-i,True,Mega,True,3,3,purple,45,14,405,55,89,600,60,65,80,170,95,130
onix,95,rock,ground,True,generation-i,False,Base,False,1,2,gray,45,88,2100,346,463,385,35,45,160,30,45,70
drowzee,96,psychic,,False,generation-i,False,Base,False,1,2,yellow,190,10,324,39,71,328,60,48,45,43,90,42
hypno,97,psychic,,False,generation-i,False,Base,False,2,2,yellow,75,16,756,63,167,483,85,73,70,73,115,67
krabby,98,water,,False,generation-i,False,Base,False,1,2,red,225,4,65,16,14,325,30,105,90,25,25,50
kingler,99,water,,False,generation-i,False,Base,False,2,2,red,60,13,600,51,132,475,55,130,115,50,50,75
voltorb,100,electric,,False,generation-i,False,Base,False,1,2,red,190,5,104,20,23,330,40,30,50,55,55,100
voltorb-hisui,100,electric,grass,True,generation-i,False,Hisuian,True,1,2,red,190,5,130,20,29,330,40,30,50,55,55,100
electrode,101,electric,,False,generation-i,False,Base,False,2,2,red,60,12,666,47,147,490,60,50,70,80,80,150
electrode-hisui,101,electric,grass,True,generation-i,False,Hisuian,True,2,2,red,60,12,710,47,157,490,60,50,70,80,80,150
exeggcute,102,grass,psychic,True,generation-i,False,Base,False,1,2,pink,90,4,25,16,6,325,60,40,80,60,45,40
exeggutor,103,grass,psychic,True,generation-i,False,Base,False,2,2,yellow,45,20,1200,79,265,530,95,95,85,125,75,55
exeggutor-alola,103,grass,dragon,True,generation-i,False,Alolan,True,2,2,yellow,45,109,4156,429,916,530,95,105,85,125,75,45
cubone,104,ground,,False,generation-i,False,Base,False,1,2,brown,190,4,65,16,14,320,50,50,95,40,50,35
marowak,105,ground,,False,generation-i,False,Base,False,2,2,brown,75,10,450,39,99,425,60,80,110,50,80,45
marowak-alola,105,fire,ghost,True,generation-i,False,Alolan,True,2,2,brown,75,10,340,39,75,425,60,80,110,50,80,45
marowak-totem,105,fire,ghost,True,generation-i,False,Totem,True,2,2,brown,75,17,980,67,216,425,60,80,110,50,80,45
hitmonlee,106,fighting,,False,generation-i,False,Base,False,2,2,brown,45,15,498,59,110,455,50,120,53,35,110,87
hitmonchan,107,fighting,,False,generation-i,False,Base,False,2,2,brown,45,14,502,55,111,455,50,105,79,35,110,76
lickitung,108,normal,,False,generation-i,False,Base,False,1,2,pink,45,12,655,47,144,385,90,55,75,60,75,30
koffing,109,poison,,False,generation-i,False,Base,False,1,2,purple,190,6,10,24,2,340,40,65,95,60,45,35
weezing,110,poison,,False,generation-i,False,Base,False,2,2,purple,60,12,95,47,21,490,65,90,120,85,70,60
weezing-galar,110,poison,fairy,True,generation-i,False,Galarian,True,2,2,purple,60,30,160,118,35,490,65,90,120,85,70,60
rhyhorn,111,ground,rock,True,generation-i,False,Base,False,1,3,gray,120,10,1150,39,254,345,80,85,95,30,30,25
rhydon,112,ground,rock,True,generation-i,False,Base,False,2,3,gray,60,19,1200,75,265,485,105,130,120,45,45,40
chansey,113,normal,,False,generation-i,False,Base,False,2,3,pink,30,11,346,43,76,450,250,5,5,35,105,50
tangela,114,grass,,False,generation-i,False,Base,False,1,2,blue,45,10,350,39,77,435,65,55,115,100,40,60
kangaskhan,115,normal,,False,generation-i,False,Base,False,1,1,brown,45,22,800,87,176,490,105,95,80,40,80,90
kangaskhan-mega,115,normal,,False,generation-i,True,Mega,True,1,1,brown,45,22,1000,87,220,590,105,125,100,60,100,100
horsea,116,water,,False,generation-i,False,Base,False,1,3,blue,225,4,80,16,18,295,30,40,70,70,25,60
