Beloit College (Beloit, Wisconsin)
Carleton College (Northfield, Minnesota)
Coe College (Cedar Rapids, Iowa)
Colorado College (Colorado Springs, Colorado)
Cornell College (Mount Vernon, Iowa)
Grinnell College (Grinnell, Iowa)
Knox College (Galesburg, Illinois)
Lake Forest College (Lake Forest, Illinois)
Lawrence University (Appleton, Wisconsin)
Luther College (Decorah, Iowa)
Macalester College (Saint Paul, Minnesota)
Monmouth College (Monmouth, Illinois)
Ripon College (Ripon, Wisconsin)
St. Olaf College (Northfield, Minnesota)
